Marca| Sección| Categoría| Producto| Precio original| Precio reventa| Vínculo| Imagen|
Mattelsa| hombre| Jogg| jogg-pants-cafe-basico-65978| 102000| 112200| https://www.mattelsa.net/hombre/jogg-pants-cafe-basico-65978| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/5/65978-1.jpg|
Mattelsa| hombre| Camiseta| camiseta-box-fit-negro-texto-67561| 54000| 59400| https://www.mattelsa.net/hombre/camiseta-box-fit-negro-texto-67561| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/7/67561-1.jpg|
Mattelsa| hombre| Camiseta| camiseta-oversize-cafe-ilustracion-65314| 60000| 66000| https://www.mattelsa.net/hombre/camiseta-oversize-cafe-ilustracion-65314| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/5/65314-1.jpg|
Mattelsa| hombre| Chaqueta| chaqueta-con-chompa-azul-lavanderia-64352| 150000| 165000| https://www.mattelsa.net/hombre/chaqueta-con-chompa-azul-lavanderia-64352| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64352-1.jpg|
Mattelsa| hombre| Camiseta| camiseta-rosado-ilustracion-65284| 52000| 57200| https://www.mattelsa.net/hombre/camiseta-rosado-ilustracion-65284| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/5/65284-1.jpg|
Mattelsa| hombre| Jeans| jeans-slim-fit-azul-claro-raspones-59823| 94000| 103400| https://www.mattelsa.net/hombre/jeans-slim-fit-azul-claro-raspones-59823| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/5/9/59823-1.jpg|
Mattelsa| hombre| Buzo| buzo-gris-texto-64337| 112000| 123200| https://www.mattelsa.net/hombre/buzo-gris-texto-64337| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64337-1.jpg|
Mattelsa| hombre| Camiseta| camiseta-box-fit-marfil-ilustracion-66099| 52000| 57200| https://www.mattelsa.net/hombre/camiseta-box-fit-marfil-ilustracion-66099| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66099-1.jpg|
Mattelsa| hombre| Camiseta| camiseta-bukz-negro-ilustracion-69070| 52000| 57200| https://www.mattelsa.net/hombre/camiseta-bukz-negro-ilustracion-69070| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/9/69070-1_1.jpg|
Mattelsa| hombre| Camiseta| camiseta-bukz-blanco-ilustracion-69071| 52000| 57200| https://www.mattelsa.net/hombre/camiseta-bukz-blanco-ilustracion-69071| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/9/69071-1_1.jpg|
