Marca| Sección| Categoría| Producto| Precio original| Precio reventa| Vínculo| Imagen|
Mattelsa| mujer| Top| top-tank-marfil-cortes-64682| 36000| 39600| https://www.mattelsa.net/mujer/top-tank-marfil-cortes-64682| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64682-1.jpg|
Mattelsa| mujer| Overall| overall-denim-azul-claro-basico-64459| 120000| 132000| https://www.mattelsa.net/mujer/overall-denim-azul-claro-basico-64459| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64459-1.jpg|
Mattelsa| mujer| Top| top-tiras-cafe-basico-69632| 34000| 37400| https://www.mattelsa.net/mujer/top-tiras-cafe-basico-69632| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/9/69632-1.jpg|
Mattelsa| mujer| Camisa| camisa-manga-larga-con-amarre-marfil-basico-65454| 60000| 66000| https://www.mattelsa.net/mujer/camisa-manga-larga-con-amarre-marfil-basico-65454| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/5/65454-1.jpg|
Mattelsa| mujer| Top| top-manga-larga-con-escote-en-espalda-rosado-basico-66172| 50000| 55000| https://www.mattelsa.net/mujer/top-manga-larga-con-escote-en-espalda-rosado-basico-66172| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66172-1.jpg|
Mattelsa| mujer| Vestido| vestido-corto-manga-larga-negro-animal-print-66183| 62000| 68200| https://www.mattelsa.net/mujer/vestido-corto-manga-larga-negro-animal-print-66183| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66183-1.jpg|
Mattelsa| mujer| Chaqueta| chaqueta-denim-marfil-basico-63337| 124000| 136400| https://www.mattelsa.net/mujer/chaqueta-denim-marfil-basico-63337| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63337-1.jpg|
Mattelsa| mujer| Harems| harems-cafe-brillo-67393| 74000| 81400| https://www.mattelsa.net/mujer/harems-cafe-brillo-67393| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/7/67393-1.jpg|
Mattelsa| mujer| Buzo| buzo-pullover-negro-texto-66214| 84000| 92400| https://www.mattelsa.net/mujer/buzo-pullover-negro-texto-66214| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66214-1.jpg|
Mattelsa| mujer| Falda| falda-denim-con-cinturon-azul-rotos-64483| 78000| 85800| https://www.mattelsa.net/mujer/falda-denim-con-cinturon-azul-rotos-64483| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64483-1.jpg|
Mattelsa| mujer| Vestido| vestido-corto-beige-basico-67100| 58000| 63800| https://www.mattelsa.net/mujer/vestido-corto-beige-basico-67100| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/7/67100-1.jpg|
Mattelsa| mujer| Pantalón| pantalon-cafe-apliques-61868| 90000| 99000| https://www.mattelsa.net/mujer/pantalon-cafe-apliques-61868| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/1/61868-1.jpg|
Mattelsa| mujer| Top| top-tiras-negro-basico-66499| 34000| 37400| https://www.mattelsa.net/mujer/top-tiras-negro-basico-66499| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66499-1.jpg|
Mattelsa| mujer| Enterizo| enterizo-corto-rosado-basico-66182| 72000| 79200| https://www.mattelsa.net/mujer/enterizo-corto-rosado-basico-66182| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66182-1.jpg|
Mattelsa| mujer| Buzo| buzo-hoodie-oversize-rosado-lavanderia-66210| 96000| 105600| https://www.mattelsa.net/mujer/buzo-hoodie-oversize-rosado-lavanderia-66210| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66210-1.jpg|
Mattelsa| mujer| Jogger| joggers-rosado-lavanderia-66204| 88000| 96800| https://www.mattelsa.net/mujer/joggers-rosado-lavanderia-66204| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66204-1.jpg|
Mattelsa| mujer| Buzo| buzo-hoodie-bukz-negro-ilustracion-69637| 90000| 99000| https://www.mattelsa.net/mujer/buzo-hoodie-bukz-negro-ilustracion-69637| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/9/69637-1_1.jpg|
Mattelsa| mujer| Camiseta| camiseta-blanco-ilustracion-64122| 36000| 39600| https://www.mattelsa.net/mujer/camiseta-blanco-ilustracion-64122| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64122-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-oversize-naranja-texto-67083| 50000| 55000| https://www.mattelsa.net/mujer/camiseta-oversize-naranja-texto-67083| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/7/67083-1.jpg|
Mattelsa| mujer| Shorts| shorts-denim-azul-basico-64989| 78000| 85800| https://www.mattelsa.net/mujer/shorts-denim-azul-basico-64989| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64989-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-negro-ilustracion-65877| 36000| 39600| https://www.mattelsa.net/mujer/camiseta-negro-ilustracion-65877| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/5/65877-1.jpg|
Mattelsa| mujer| Top| top-manga-larga-negro-ilustracion-64147| 42000| 46200| https://www.mattelsa.net/mujer/top-manga-larga-negro-ilustracion-64147| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64147-1.jpg|
Mattelsa| mujer| Pantalón| pantalon-cargo-coral-apliques-63844| 100000| 110000| https://www.mattelsa.net/mujer/pantalon-cargo-coral-apliques-63844| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63844-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-oversize-blanco-animal-print-65422| 42000| 46200| https://www.mattelsa.net/mujer/camiseta-oversize-blanco-animal-print-65422| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/5/65422-1.jpg|
Mattelsa| mujer| Shorts| shorts-denim-azul-lavanderia-64992| 76000| 83600| https://www.mattelsa.net/mujer/shorts-denim-azul-lavanderia-64992| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64992-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-crop-azul-texto-63191| 32000| 35200| https://www.mattelsa.net/mujer/camiseta-crop-azul-texto-63191| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63191-1.jpg|
Mattelsa| mujer| Camisa| camisa-manga-corta-rosado-rayas-66198| 62000| 68200| https://www.mattelsa.net/mujer/camisa-manga-corta-rosado-rayas-66198| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66198-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-amarillo-basico-66126| 38000| 41800| https://www.mattelsa.net/mujer/camiseta-amarillo-basico-66126| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66126-1.jpg|
Mattelsa| mujer| Top| top-tank-negro-basico-69921| 34000| 37400| https://www.mattelsa.net/mujer/top-tank-negro-basico-69921| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/9/69921-1.jpg|
Mattelsa| mujer| Camisa| camisa-manga-larga-oversize-mostaza-cuadros-67093| 72000| 79200| https://www.mattelsa.net/mujer/camisa-manga-larga-oversize-mostaza-cuadros-67093| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/7/67093-1.jpg|
Mattelsa| mujer| Harems| harems-beige-cuadros-66192| 70000| 77000| https://www.mattelsa.net/mujer/harems-beige-cuadros-66192| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66192-1.jpg|
Mattelsa| mujer| Top| top-tiras-rojo-basico-66155| 34000| 37400| https://www.mattelsa.net/mujer/top-tiras-rojo-basico-66155| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66155-1.jpg|
