Marca| Sección| Categoría| Producto| Precio original| Precio reventa| Vínculo| Imagen|
Mattelsa| sale_hombre| Buzo| buzo-pullover-azul-lavanderia-63991| 56000| 61600| https://www.mattelsa.net/sale/hombre/buzo-pullover-azul-lavanderia-63991| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63991-1.jpg|
Mattelsa| sale_hombre| Chaqueta| chaqueta-gris-texto-63381| 78000| 85800| https://www.mattelsa.net/sale/hombre/chaqueta-gris-texto-63381| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63381-1.jpg|
Mattelsa| sale_hombre| Jog| jog-pants-gris-basico-62232| 60000| 66000| https://www.mattelsa.net/sale/hombre/jog-pants-gris-basico-62232| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62232-1.jpg|
Mattelsa| sale_hombre| Polo| polo-cuello-mao-en-pique-negro-bloques-60629| 42000| 46200| https://www.mattelsa.net/sale/hombre/polo-cuello-mao-en-pique-negro-bloques-60629| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/0/60629-1.jpg|
Mattelsa| sale_hombre| Polo| polo-cuello-mao-en-pique-blanco-texto-63457| 40000| 44000| https://www.mattelsa.net/sale/hombre/polo-cuello-mao-en-pique-blanco-texto-63457| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63457-1.jpg|
Mattelsa| sale_hombre| Joggers| joggers-verde-rayas-63528| 52000| 57200| https://www.mattelsa.net/sale/hombre/joggers-verde-rayas-63528| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63528-1.jpg|
Mattelsa| sale_hombre| Shorts| shorts-cafe-cargo-64018| 48000| 52800| https://www.mattelsa.net/sale/hombre/shorts-cafe-cargo-64018| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64018-1.jpg|
Mattelsa| sale_hombre| Jeans| jeans-regular-fit-azul-medio-rotos-63655| 68000| 74800| https://www.mattelsa.net/sale/hombre/jeans-regular-fit-azul-medio-rotos-63655| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63655-1.jpg|
Mattelsa| sale_hombre| Pantalón| pantalon-cargo-verde-cargo-62233| 60000| 66000| https://www.mattelsa.net/sale/hombre/pantalon-cargo-verde-cargo-62233| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62233-1.jpg|
Mattelsa| sale_hombre| Shorts| shorts-plano-cafe-cargo-61156| 62000| 68200| https://www.mattelsa.net/sale/hombre/shorts-plano-cafe-cargo-61156| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/1/61156-1.jpg|
Mattelsa| sale_hombre| Sobrecamisa| sobrecamisa-beige-basico-63654| 72000| 79200| https://www.mattelsa.net/sale/hombre/sobrecamisa-beige-basico-63654| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63654-1.jpg|
