Marca| Sección| Categoría| Producto| Precio original| Precio reventa| Vínculo| Imagen|
Mattelsa| sale_mujer| Camiseta| camiseta-crop-rosado-rayas-64667| 22000| 24200| https://www.mattelsa.net/sale/mujer/camiseta-crop-rosado-rayas-64667| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64667-1.jpg|
Mattelsa| sale_mujer| Vestido| vestido-largo-verde-flores-56539| 56000| 61600| https://www.mattelsa.net/sale/mujer/vestido-largo-verde-flores-56539| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/5/6/56539-1.jpg|
Mattelsa| sale_mujer| Falda| falda-corta-naranja-flores-63091| 36000| 39600| https://www.mattelsa.net/sale/mujer/falda-corta-naranja-flores-63091| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63091-1.jpg|
Mattelsa| sale_mujer| Enterizo| enterizo-largo-beige-basico-53951| 45000| 49500| https://www.mattelsa.net/sale/mujer/enterizo-largo-beige-basico-53951| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/5/3/53951-1.jpg|
Mattelsa| sale_mujer| Top| top-tiras-verde-texto-66350| 18000| 19800| https://www.mattelsa.net/sale/mujer/top-tiras-verde-texto-66350| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66350-1.jpg|
Mattelsa| sale_mujer| Harems| harems-rosado-basico-59100| 40000| 44000| https://www.mattelsa.net/sale/mujer/harems-rosado-basico-59100| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/5/9/59100-1.jpg|
Mattelsa| sale_mujer| Pantalón| pantalon-amarillo-basico-62889| 56000| 61600| https://www.mattelsa.net/sale/mujer/pantalon-amarillo-basico-62889| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62889-1.jpg|
Mattelsa| sale_mujer| Shorts| shorts-en-burda-colores-basico-52717| 48000| 52800| https://www.mattelsa.net/sale/mujer/shorts-en-burda-colores-basico-52717| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/5/2/52717-1.jpg|
Mattelsa| sale_mujer| Shorts| shorts-lino-beige-rayas-64192| 22000| 24200| https://www.mattelsa.net/sale/mujer/shorts-lino-beige-rayas-64192| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64192-1.jpg|
Mattelsa| sale_mujer| Top| top-tiras-azul-basico-63560| 26000| 28600| https://www.mattelsa.net/sale/mujer/top-tiras-azul-basico-63560| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63560-1.jpg|
Mattelsa| sale_mujer| Camiseta| camiseta-eco-rojo-ilustracion-63533| 22000| 24200| https://www.mattelsa.net/sale/mujer/camiseta-eco-rojo-ilustracion-63533| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63533-1.jpg|
Mattelsa| sale_mujer| Pantalón| pantalon-rosado-rotos-62728| 56000| 61600| https://www.mattelsa.net/sale/mujer/pantalon-rosado-rotos-62728| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62728-1.jpg|
Mattelsa| sale_mujer| Vestido| vestido-corto-marfil-flores-63051| 40000| 44000| https://www.mattelsa.net/sale/mujer/vestido-corto-marfil-flores-63051| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63051-1.jpg|
Mattelsa| sale_mujer| Shorts| shorts-denim-con-correa-azul-claro-apliques-61863| 58000| 63800| https://www.mattelsa.net/sale/mujer/shorts-denim-con-correa-azul-claro-apliques-61863| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/1/61863-1.jpg|
Mattelsa| sale_mujer| Top| top-manga-larga-gris-basico-62515| 20000| 22000| https://www.mattelsa.net/sale/mujer/top-manga-larga-gris-basico-62515| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62515-1.jpg|
Mattelsa| sale_mujer| Jeans| jeans-mom-tiro-alto-con-correa-marfil-rotos-61875| 58000| 63800| https://www.mattelsa.net/sale/mujer/jeans-mom-tiro-alto-con-correa-marfil-rotos-61875| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/1/61875-1.jpg|
Mattelsa| sale_mujer| Top| top-tiras-negro-basico-51881| 20000| 22000| https://www.mattelsa.net/sale/mujer/top-tiras-negro-basico-51881| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/5/1/51881-1.jpg|
Mattelsa| sale_mujer| Shorts| shorts-plano-verde-basico-64222| 24000| 26400| https://www.mattelsa.net/sale/mujer/shorts-plano-verde-basico-64222| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64222-1.jpg|
Mattelsa| sale_mujer| Top| top-tank-coral-basico-62513| 20000| 22000| https://www.mattelsa.net/sale/mujer/top-tank-coral-basico-62513| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62513-1.jpg|
Mattelsa| sale_mujer| Pantalón| pantalon-cargo-verde-basico-62221| 60000| 66000| https://www.mattelsa.net/sale/mujer/pantalon-cargo-verde-basico-62221| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62221-1.jpg|
Mattelsa| sale_mujer| Camiseta| camiseta-blanco-texto-59551| 24000| 26400| https://www.mattelsa.net/sale/mujer/camiseta-blanco-texto-59551| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/5/9/59551-1.jpg|
Mattelsa| sale_mujer| Pantalón| pantalon-negro-apliques-58871| 54000| 59400| https://www.mattelsa.net/sale/mujer/pantalon-negro-apliques-58871| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/5/8/58871-1.jpg|
Mattelsa| sale_mujer| Jeans| jeans-wide-leg-tiro-alto-azul-apliques-62210| 60000| 66000| https://www.mattelsa.net/sale/mujer/jeans-wide-leg-tiro-alto-azul-apliques-62210| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62210-1.jpg|
Mattelsa| sale_mujer| Shorts| shorts-denim-azul-oscuro-rotos-62207| 46000| 50600| https://www.mattelsa.net/sale/mujer/shorts-denim-azul-oscuro-rotos-62207| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62207-1.jpg|
Mattelsa| sale_mujer| Falda| falda-corta-negro-flores-61730| 22000| 24200| https://www.mattelsa.net/sale/mujer/falda-corta-negro-flores-61730| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/1/61730-1.jpg|
